%TITLE%
 MAF   241116/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
   28.00,  24235.72,    -56.88,    -86.88,    255.00,      8.00
   27.20,  24419.36,    -56.30,    -86.30,  -9999.00,  -9999.00
   27.00,  24466.11,    -56.41,    -86.27,    290.00,     19.00
   26.00,  24705.21,    -56.98,    -86.13,    305.00,     15.00
   25.80,  24754.13,    -57.10,    -86.10,  -9999.00,  -9999.00
   25.00,  24953.04,    -57.42,    -86.42,    305.00,      6.99
   24.30,  25132.37,    -57.70,    -86.70,  -9999.00,  -9999.00
   24.00,  25210.67,    -57.75,    -86.75,    280.00,     20.01
   23.10,  25451.58,    -57.90,    -86.90,  -9999.00,  -9999.00
   23.00,  25478.90,    -57.93,    -86.93,    290.00,     15.00
   22.40,  25645.35,    -58.10,    -87.10,  -9999.00,  -9999.00
   22.00,  25758.98,    -57.97,    -87.13,    285.00,     14.01
   21.00,  26052.33,    -57.64,    -87.21,    270.00,     15.00
   20.00,  26360.00,    -57.30,    -87.30,    275.00,     13.00
   19.00,  26685.50,    -55.31,    -86.14,    250.00,     25.00
   18.80,  26752.66,    -54.90,    -85.90,  -9999.00,  -9999.00
   18.00,  27031.15,    -54.17,    -85.17,    255.00,     27.00
   17.10,  27359.66,    -53.30,    -84.30,  -9999.00,  -9999.00
   17.00,  27397.48,    -53.22,    -84.22,    255.00,     37.01
   15.50,  27993.13,    -51.90,    -82.90,  -9999.00,  -9999.00
   15.00,  28205.43,    -51.57,    -82.57,    280.00,     54.00
   14.90,  28248.74,    -51.50,    -82.50,  -9999.00,  -9999.00
   14.00,  28651.59,    -51.93,    -82.50,    285.00,     47.01
   13.00,  29130.76,    -52.45,    -82.50,    290.00,     52.00
   12.90,  29180.69,    -52.50,    -82.50,  -9999.00,  -9999.00
   12.00,  29646.40,    -52.88,    -82.88,    285.00,     52.00
   11.10,  30148.44,    -53.30,    -83.30,  -9999.00,  -9999.00
   11.00,  30206.67,    -53.17,    -83.50,    295.00,     50.99
   10.80,  30324.72,    -52.90,    -83.90,  -9999.00,  -9999.00
   10.50,  30506.13,    -52.90,    -83.90,  -9999.00,  -9999.00
   10.30,  30629.91,    -53.10,    -83.10,  -9999.00,  -9999.00
   10.00,  30820.00,    -53.30,    -83.30,    285.00,     48.00
    9.00,  31511.18,    -49.60,    -81.10,    280.00,     40.00
    8.10,  32202.36,    -45.90,    -78.90,  -9999.00,  -9999.00
    8.00,  32285.57,    -45.73,    -78.81,    275.00,     56.00
    7.40,  32807.78,    -44.66,    -78.28,    285.00,     58.99
    7.00,  33180.00,    -43.90,    -77.90,    280.00,     50.99
    6.70,  33474.48,    -43.10,    -77.10,  -9999.00,  -9999.00
    6.40,  33784.06,    -41.50,    -76.50,  -9999.00,  -9999.00
    6.00,  34223.05,    -40.58,    -75.58,    290.00,     40.00
    5.80,  34453.66,    -40.10,    -75.10,  -9999.00,  -9999.00
    5.60,  34693.18,    -39.90,    -74.90,  -9999.00,  -9999.00
    5.40,  34941.42,    -40.10,    -74.10,  -9999.00,  -9999.00
